Nd, dim, samples, burnSamples, sd, device, samplerTime, mcmcTime, tuneTime, burnTime, cpuTime, kernel, blocksz, gpuTime, cuTime, kernelTime, gpuBandwidth, cuBandwidth, kernelBandwidth, acceptance, ess
400000,500,5000,1000,0.106437,2,110990,92070,0,18410,0,1,64,18.335712,17.499186,0.836514,87.786339,91.798729,3.85533,0.016,1745.363525
400000,500,5000,1000,0.106437,2,111330,92340,0,18470,0,1,32,18.391079,17.49922,0.891843,87.52343,91.7985,3.645054,0.014,1620.322144
400000,500,5000,1000,0.106437,2,111220,92260,0,18450,0,2,1024,18.37368,17.498384,0.875336,87.603485,91.80291,3.657583,0.0192,1870.789917
400000,500,5000,1000,0.106437,2,110980,92060,0,18400,0,2,512,18.332151,17.497803,0.834347,87.802383,91.805702,3.839188,0.013,1714.683716
400000,500,5000,1000,0.106437,2,110800,91920,0,18370,0,2,256,18.308111,17.497425,0.81069,87.917488,91.807846,3.955017,0.0174,1776.342407
400000,500,5000,1000,0.106437,2,110780,91880,0,18380,0,2,128,18.303246,17.496483,0.806743,87.941597,91.813034,3.982091,0.0094,1856.653198
400000,500,5000,1000,0.106437,2,111040,92110,0,18420,0,2,64,18.345671,17.499004,0.846674,87.738571,91.799553,3.809047,0.011,1553.651978
400000,500,5000,1000,0.106437,2,111330,92360,0,18470,0,2,32,18.396143,17.49869,0.897442,87.499313,91.801117,3.622301,0.0164,1722.748779
400000,500,5000,1000,0.106437,2,111170,92220,0,18450,0,3,1024,18.369381,17.496893,0.872461,87.624077,91.810631,3.669583,0.0158,1604.801636
400000,500,5000,1000,0.106437,2,110980,92050,0,18410,0,3,512,18.335762,17.497337,0.838436,87.784988,91.808403,3.82045,0.0108,1625.311035
400000,500,5000,1000,0.106437,2,110910,92000,0,18400,0,3,256,18.323704,17.49712,0.826587,87.842842,91.80957,3.878963,0.0164,1779.601929
400000,500,5000,1000,0.106437,2,110930,92020,0,18390,0,3,128,18.32753,17.495739,0.831825,87.824776,91.816658,3.862009,0.018,1656.550659
400000,500,5000,1000,0.106437,2,111240,92280,0,18450,0,3,64,18.380669,17.497423,0.883211,87.571945,91.80777,3.651485,0.014,1634.850708
400000,500,5000,1000,0.106437,2,111590,92560,0,18520,0,3,32,18.435894,17.499084,0.9368,87.310692,91.799095,3.47013,0.0138,1794.577759
400000,500,250,50,0.106437,1,153760,128360,0,25400,500,0,0,0,0,0,0,0,0,0.024, -nan
800000,250,5000,1000,0.150524,2,118980,98480,0,19690,0,0,1024,19.645876,17.758261,1.887592,82.419701,90.819679,3.394041,0.0222,1035.296753
800000,250,5000,1000,0.150524,2,117360,97370,0,19470,0,0,512,19.425142,17.764874,1.660234,83.356552,90.785713,3.862458,0.0188,968.653687
800000,250,5000,1000,0.150524,2,116860,96960,0,19380,0,0,256,19.340664,17.76594,1.574704,83.721329,90.780396,4.080143,0.02,952.473938
800000,250,5000,1000,0.150524,2,116980,97060,0,19410,0,0,128,19.362408,17.759773,1.602623,83.628555,90.811974,4.024902,0.0174,1016.892029
800000,250,5000,1000,0.150524,2,118020,97930,0,19580,0,0,64,19.529871,17.7563,1.77357,82.914169,90.829979,3.666,0.0154,1057.589233
800000,250,5000,1000,0.150524,2,118820,98580,0,19720,0,0,32,19.666557,17.757055,1.909479,82.343369,90.825798,3.459717,0.0216,975.203186
800000,250,5000,1000,0.150524,2,118010,97920,0,19580,0,1,1024,19.533167,17.755836,1.777361,82.894806,90.832085,3.602632,0.0174,1026.400024
800000,250,5000,1000,0.150524,2,117500,97490,0,19490,0,1,512,19.447832,17.758286,1.689536,83.259041,90.819595,3.791759,0.0094,928.585144
800000,250,5000,1000,0.150524,2,117250,97280,0,19460,0,1,256,19.405773,17.756254,1.649483,83.439934,90.829987,3.887607,0.0176,950.953796
800000,250,5000,1000,0.150524,2,117190,97220,0,19450,0,1,128,19.395145,17.761457,1.633696,83.485931,90.803383,3.932822,0.0208,932.329407
800000,250,5000,1000,0.150524,2,117260,97290,0,19460,0,1,64,19.40464,17.757261,1.6474,83.446411,90.824821,3.915533,0.0134,907.428162
800000,250,5000,1000,0.150524,2,117700,97660,0,19520,0,1,32,19.4781,17.756481,1.721572,83.134766,90.828812,3.776562,0.0166,1018.067871
800000,250,5000,1000,0.150524,2,117530,97510,0,19500,0,2,1024,19.45257,17.768219,1.684369,83.238449,90.768738,3.801505,0.0214,1030.805054
800000,250,5000,1000,0.150524,2,117110,97170,0,19420,0,2,512,19.38172,17.759674,1.62204,83.542984,90.812515,3.949536,0.0108,914.706543
800000,250,5000,1000,0.150524,2,116780,96880,0,19380,0,2,256,19.326937,17.752916,1.574034,83.780113,90.847,4.073968,0.0148,942.791321
800000,250,5000,1000,0.150524,2,116850,96950,0,19390,0,2,128,19.3389,17.770273,1.568607,83.728966,90.758476,4.09603,0.0128,839.480103
800000,250,5000,1000,0.150524,2,117390,97380,0,19480,0,2,64,19.427378,17.756842,1.670544,83.348885,90.826958,3.8613,0.0184,994.979431
800000,250,5000,1000,0.150524,2,117740,97690,0,19540,0,2,32,19.489119,17.756807,1.732335,83.087555,90.827309,3.753079,0.0138,969.080627
800000,250,5000,1000,0.150524,2,117390,97390,0,19470,0,3,1024,19.428101,17.755215,1.672871,83.343315,90.83506,3.827624,0.0136,918.0495
800000,250,5000,1000,0.150524,2,117220,97260,0,19440,0,3,512,19.400949,17.767174,1.633767,83.460449,90.774193,3.921188,0.0176,944.702087
800000,250,5000,1000,0.150524,2,116990,97070,0,19400,0,3,256,19.358812,17.753155,1.605643,83.642334,90.845978,3.99373,0.0158,906.703552
800000,250,5000,1000,0.150524,2,117140,97180,0,19440,0,3,128,19.388512,17.770786,1.617752,83.514732,90.755913,3.97157,0.0172,1080.630737
800000,250,5000,1000,0.150524,2,117830,97760,0,19550,0,3,64,19.501703,17.75733,1.744407,83.030991,90.824539,3.697793,0.0172,991.943054
800000,250,5000,1000,0.150524,2,118200,98080,0,19620,0,3,32,19.566446,17.756571,1.809901,82.759026,90.828262,3.592233,0.0126,872.776001
800000,250,250,50,0.150524,1,160440,133980,0,26460,500,0,0,0,0,0,0,0,0,0.016,0
1600000,125,5000,1000,0.212874,2,130850,108330,0,21670,0,0,1024,21.628336,17.932953,3.695417,75.753052,90.648735,3.467201,0.0182,599.503052
1600000,125,5000,1000,0.212874,2,127910,106150,0,21230,0,0,512,21.193462,17.926317,3.267119,77.308167,90.682411,3.925509,0.0108,510.655518
1600000,125,5000,1000,0.212874,2,126980,105390,0,21070,0,0,256,21.039087,17.934622,3.104441,77.876694,90.640572,4.139228,0.0148,525.038147
1600000,125,5000,1000,0.212874,2,127190,105560,0,21110,0,0,128,21.073891,17.930733,3.143148,77.750259,90.660263,4.104426,0.013,449.273315
1600000,125,5000,1000,0.212874,2,129110,107170,0,21430,0,0,64,21.396685,17.931604,3.465099,76.582169,90.655609,3.752747,0.0134,554.957153
1600000,125,5000,1000,0.212874,2,131060,108790,0,21750,0,0,32,21.714756,17.932619,3.782099,75.470009,90.650513,3.49353,0.0142,625.733093
1600000,125,5000,1000,0.212874,2,129310,107330,0,21460,0,1,1024,21.428429,17.926247,3.502194,76.459656,90.682899,3.656676,0.0132,536.518372
1600000,125,5000,1000,0.212874,2,128220,106420,0,21290,0,1,512,21.248951,17.924845,3.324111,77.105545,90.689812,3.85443,0.0096,533.427551
1600000,125,5000,1000,0.212874,2,127800,106070,0,21210,0,1,256,21.172989,17.921455,3.251523,77.382812,90.706726,3.944302,0.0122,540.466125
1600000,125,5000,1000,0.212874,2,127670,105950,0,21190,0,1,128,21.154387,17.932579,3.221816,77.452065,90.650688,3.988445,0.011,570.739563
1600000,125,5000,1000,0.212874,2,127710,105990,0,21210,0,1,64,21.16164,17.932663,3.228891,77.428177,90.650146,3.995426,0.0144,592.041809
